,weight,prod_distance,time_delivery,target
130,73.0,1346.0,14.0,549500.3804500827
131,28.0,2416.0,7.0,581825.0124644242
132,1.0,2043.0,6.0,774922.2508572766
133,1.0,1459.0,11.0,717764.0537311212
134,82.0,2135.0,12.0,789472.2049412772
135,28.0,1284.0,8.0,778426.4402069426
136,46.0,1731.0,8.0,706334.407679752
137,19.0,1346.0,13.0,799168.4702069425
138,64.0,1346.0,6.0,706077.9718052801
139,19.0,1804.0,14.0,645053.0647340297
140,28.0,1783.0,4.0,693571.6037311212
141,19.0,1797.0,2.0,697779.7158336187
142,28.0,2476.0,3.0,772119.5566874628
143,46.0,2700.0,7.0,674684.552182472
144,10.0,2416.0,13.0,519653.8918735134
145,19.0,2476.0,9.0,698508.1579983787
146,55.0,2680.0,7.0,678940.207679752
147,73.0,2631.0,9.0,725702.6124644242
148,37.0,2501.0,8.0,699029.9533498312
149,64.0,2936.0,1.0,700373.6049294312
150,64.0,2416.0,12.0,675909.3923521412
151,28.0,2135.0,9.0,736344.5653672726
152,64.0,2118.0,9.0,529773.3921824719
153,37.0,2105.0,13.0,454833.4923281041
154,46.0,2028.0,8.0,802894.4412148325
155,10.0,1335.0,5.0,706789.0604500828
156,37.0,1346.0,13.0,754453.4102069426
157,10.0,1335.0,1.0,668452.1537311212
158,1.0,1783.0,14.0,797413.4702069425
159,73.0,2118.0,5.0,748700.6099192636
160,28.0,2471.0,14.0,592548.5504500828
161,73.0,1804.0,10.0,492406.43259707873
162,1.0,1237.0,7.0,737625.8253577651
163,1.0,1734.0,2.0,670748.1812369471
164,37.0,2488.0,13.0,633627.6249294311
165,64.0,1783.0,3.0,451180.4537311212
166,19.0,1783.0,3.0,711075.1314326305
167,64.0,1731.0,7.0,700638.9839110986
168,19.0,2936.0,10.0,481375.4179983788
169,73.0,1335.0,5.0,679652.3399192637
170,46.0,2098.0,12.0,704735.4299192637
171,55.0,2098.0,12.0,532498.4940008646
172,19.0,1731.0,3.0,640622.4969504637
173,73.0,2231.0,4.0,729548.0949294312
174,37.0,2700.0,13.0,597346.2602069426
175,10.0,2043.0,4.0,744987.0187274452
176,19.0,2796.0,3.0,599835.4781415536
177,46.0,2074.0,13.0,721144.1149412772
178,37.0,2105.0,1.0,693728.2918136714
179,10.0,2913.0,8.0,490924.7040008646
180,1.0,1804.0,9.0,669316.3653577651
181,82.0,2936.0,9.0,668918.2458336187
182,28.0,2163.0,13.0,703104.6924644242
183,55.0,2098.0,11.0,565336.0333498312
184,55.0,2074.0,12.0,453880.2212369471
185,82.0,1284.0,8.0,704114.4299192637
186,46.0,2118.0,14.0,533956.1025970788
187,1.0,1335.0,9.0,498721.22272441006
188,10.0,2098.0,6.0,692702.5124994892
189,55.0,1804.0,11.0,737843.5037311212
190,73.0,2631.0,7.0,613253.5447340297
191,28.0,2913.0,1.0,637599.5779983787
192,73.0,1734.0,3.0,641095.6923281042
193,55.0,1237.0,7.0,600432.0508572765
194,10.0,2476.0,4.0,740339.1827244101
195,46.0,1731.0,9.0,636618.7758336186
196,55.0,1459.0,8.0,789040.2049412772
197,1.0,2098.0,2.0,747381.9133498312
198,55.0,1161.0,13.0,733074.0240008646
199,82.0,1335.0,7.0,586185.7891183892
200,46.0,2098.0,9.0,544980.0924644242
201,19.0,1734.0,9.0,625114.0249412772
202,19.0,2488.0,6.0,724511.9479983787
203,28.0,2098.0,12.0,699130.1047340297
204,46.0,2074.0,14.0,540951.5047340296
205,64.0,2416.0,1.0,641401.5718735134
206,28.0,1346.0,9.0,723662.1858336186
207,64.0,1346.0,11.0,677924.3399192637
208,46.0,1797.0,11.0,513994.20020694257
209,82.0,2700.0,8.0,517336.6812148326
210,19.0,2913.0,12.0,674439.3166874629
211,28.0,1346.0,10.0,701133.7823521411
212,19.0,2471.0,9.0,719469.5012369471
213,19.0,1804.0,4.0,548815.2691183892
214,73.0,2476.0,8.0,644909.0647340297
215,10.0,2163.0,4.0,561920.65180528
216,1.0,2680.0,11.0,776916.007679752
217,1.0,2098.0,8.0,751912.922182472
218,55.0,1284.0,13.0,539880.5047340296
219,37.0,1731.0,3.0,778930.4402069426
220,37.0,1161.0,3.0,450655.5079669729
221,46.0,2028.0,7.0,560113.3212148325
222,19.0,1567.0,3.0,562827.2169504637
223,37.0,2471.0,7.0,744841.562352141
224,10.0,1804.0,8.0,573736.905357765
225,73.0,2043.0,14.0,555832.2302069425
226,10.0,1284.0,10.0,717863.0537311212
227,19.0,1783.0,2.0,621342.3091183892
228,64.0,1161.0,13.0,601296.0508572765
229,46.0,1772.0,10.0,668850.1149294311
230,19.0,2700.0,12.0,644810.0647340297
231,64.0,2936.0,7.0,670232.4733498312
232,28.0,2476.0,8.0,603167.9653672726
233,37.0,1783.0,5.0,741635.1827244101
234,73.0,1237.0,9.0,692159.4525970788
235,55.0,1284.0,14.0,756856.807679752
236,28.0,1567.0,2.0,751314.9091183891
237,19.0,2913.0,13.0,720866.3981415535
238,73.0,2416.0,9.0,667973.2458336187
239,10.0,2488.0,7.0,751170.9091183891
240,73.0,2416.0,5.0,492076.7040008646
241,10.0,2231.0,10.0,459502.0523521411
242,10.0,2028.0,12.0,452399.44535776513
243,73.0,2043.0,6.0,614552.6123521412
244,46.0,2501.0,1.0,635439.2081415536
245,19.0,2135.0,3.0,494350.7924994892
246,10.0,1772.0,3.0,695954.6681415535
247,64.0,1459.0,5.0,676980.4987274453
248,1.0,2118.0,10.0,561030.8518136714
249,82.0,1804.0,10.0,636897.1125970788
250,64.0,2074.0,8.0,495671.26535776514
251,46.0,2118.0,11.0,452467.4537311212
252,1.0,1734.0,6.0,560806.3212148325
253,37.0,1284.0,8.0,580832.222352141
254,37.0,2700.0,2.0,643492.7027244101
255,55.0,2796.0,13.0,522186.4918136714
256,1.0,2488.0,2.0,783429.8653672726
257,73.0,2028.0,1.0,648656.8524644242
258,55.0,2163.0,14.0,782185.8012148325
259,46.0,2913.0,8.0,449506.7625970788
260,46.0,2796.0,10.0,596266.2602069426
261,73.0,1237.0,7.0,523759.2079983787
262,55.0,1772.0,5.0,734920.7925970787
263,46.0,1734.0,10.0,608636.972182472
264,73.0,2913.0,5.0,744336.0118136714
265,82.0,1161.0,9.0,532228.1025970788
266,1.0,2501.0,13.0,459574.0523521411
267,37.0,2501.0,14.0,730848.2939110985
268,1.0,1772.0,4.0,621018.3091183892
269,37.0,2028.0,10.0,737078.5037311212
270,19.0,1346.0,3.0,705973.6918735134
271,73.0,2936.0,4.0,694867.6037311212
272,37.0,2135.0,11.0,512921.1549294312
273,1.0,1928.0,6.0,760903.6318052801
274,73.0,1237.0,3.0,634408.7204500827
275,19.0,2074.0,8.0,453078.4923281041
276,46.0,1928.0,2.0,740209.4523281042
277,10.0,1928.0,6.0,843889.9708572765
278,64.0,2501.0,8.0,670316.1812369471
279,28.0,2416.0,9.0,642945.2566874628
280,82.0,2105.0,4.0,702558.3766874628
281,19.0,2501.0,5.0,573725.8037311212
282,19.0,2074.0,10.0,586545.7891183892
283,19.0,1459.0,4.0,563358.7481415536
284,37.0,1161.0,6.0,639639.1153672726
285,64.0,2163.0,4.0,549860.3804500827
286,10.0,1237.0,5.0,669100.1537311212
287,19.0,2163.0,6.0,675768.2653672725
288,10.0,1804.0,2.0,756773.6039110986
289,82.0,1335.0,10.0,779146.4402069426
290,28.0,1772.0,5.0,578946.1314326305
291,10.0,2936.0,1.0,725134.172352141
292,10.0,1346.0,7.0,738970.1612369472
293,1.0,2105.0,12.0,645660.007679752
294,46.0,2028.0,13.0,557778.7439110986
295,55.0,1783.0,5.0,696053.6681415535
296,82.0,2416.0,6.0,761599.8118735134
297,37.0,1928.0,2.0,751722.4966874628
298,28.0,2105.0,10.0,843637.9708572765
299,73.0,2118.0,1.0,721462.3127244101
300,64.0,2416.0,11.0,754429.5849294312
301,46.0,1161.0,7.0,643168.7027244101
302,10.0,1731.0,5.0,764172.3718136714
303,73.0,1346.0,3.0,670815.1323281042
304,28.0,1783.0,5.0,617463.9324644243
305,73.0,1335.0,6.0,486054.01668746286
306,37.0,1284.0,14.0,737859.1314326305
307,64.0,1161.0,6.0,698364.1579983787
308,73.0,2105.0,3.0,644405.0647340297
309,55.0,1284.0,9.0,634309.7204500827
310,82.0,2936.0,7.0,805246.9318735134
311,10.0,2700.0,6.0,611380.807679752
312,46.0,1797.0,5.0,640570.545357765
313,28.0,2163.0,7.0,639434.4969504637
314,46.0,2231.0,11.0,589026.9949412772
315,82.0,2416.0,8.0,692699.4525970788
316,82.0,1783.0,9.0,679112.3399192637
317,73.0,2631.0,8.0,581120.222352141
318,82.0,2105.0,9.0,456202.4647340298
319,64.0,2043.0,4.0,496166.26535776514
320,46.0,2936.0,4.0,647552.6587274452
321,10.0,2163.0,11.0,735811.7925970787
322,1.0,2163.0,7.0,800980.4908572766
323,82.0,1237.0,14.0,453942.4923281041
324,82.0,1459.0,6.0,494049.1314326305
325,73.0,1567.0,11.0,780546.1314326304
326,64.0,2118.0,2.0,798279.5649294312
327,46.0,1731.0,12.0,748340.6099192636
328,73.0,1928.0,4.0,805219.9318735134
329,64.0,1772.0,2.0,751741.922182472
330,64.0,2043.0,12.0,600807.4781415536
331,73.0,2700.0,1.0,448072.9140008646
332,46.0,2074.0,3.0,494497.6579669729
333,10.0,2105.0,14.0,748745.6099192636
334,1.0,2105.0,7.0,705626.4299192637
335,1.0,1459.0,14.0,703577.342182472
336,28.0,2118.0,14.0,674520.3166874629
337,82.0,1567.0,8.0,562470.8518136714
338,46.0,2135.0,8.0,738749.2304500827
339,19.0,2098.0,9.0,702105.7823521411
340,64.0,1567.0,6.0,533416.1025970788
341,55.0,1284.0,4.0,639255.31180528
342,55.0,2476.0,7.0,649376.8524644242
343,28.0,1237.0,5.0,639882.1153672726
344,82.0,2796.0,14.0,635080.2902069426
345,73.0,2700.0,14.0,448561.7625970788
346,19.0,2471.0,8.0,780798.1314326304
347,73.0,2135.0,6.0,513416.1549294312
348,10.0,1567.0,11.0,713604.2340008646
349,82.0,2936.0,4.0,734727.2518735133
350,10.0,1335.0,7.0,752073.4966874628
351,19.0,1734.0,7.0,752497.922182472
352,55.0,2231.0,3.0,479515.2881415536
353,37.0,2631.0,7.0,734225.5212148326
354,37.0,2074.0,1.0,740641.4523281042
355,64.0,2028.0,1.0,745819.1449412772
356,19.0,1734.0,8.0,800908.4908572766
357,1.0,2074.0,11.0,562208.65180528
358,46.0,2118.0,2.0,668517.8924994892
359,82.0,2488.0,6.0,613388.5447340297
360,46.0,1804.0,4.0,735494.9169504638
361,10.0,1928.0,11.0,735047.8579669729
362,46.0,1734.0,3.0,495154.9037311211
363,19.0,2118.0,11.0,666466.9318136714
364,46.0,2118.0,9.0,764253.3718136714
365,55.0,2501.0,13.0,783486.3718735133
366,73.0,1797.0,11.0,741156.1447340297
367,28.0,1335.0,1.0,503014.4423521411
368,28.0,2074.0,9.0,692411.4525970788
369,64.0,2631.0,9.0,563438.8153672726
370,10.0,1161.0,4.0,605477.1079669729
371,46.0,2231.0,10.0,836493.9104500827
372,55.0,2105.0,9.0,673611.2412148325
373,82.0,2043.0,1.0,746700.6558336186
374,1.0,2913.0,9.0,738349.1612369472
375,64.0,2105.0,14.0,673836.64180528
376,82.0,2163.0,5.0,802723.4412148325
377,28.0,2231.0,8.0,760771.0569504637
378,73.0,1804.0,2.0,695837.6681415535
379,73.0,2098.0,3.0,451900.4537311212
380,73.0,2028.0,7.0,639777.7037311213
381,73.0,2631.0,4.0,604941.4425970789
382,64.0,1734.0,6.0,611754.8327244101
383,64.0,2028.0,7.0,634750.5718136714
384,46.0,2074.0,9.0,670033.6739110985
385,10.0,2135.0,10.0,699860.6049294312
386,28.0,1783.0,6.0,528807.0766874629
387,73.0,2118.0,4.0,504405.9349412772
388,19.0,2098.0,3.0,678648.5308572765
389,64.0,2135.0,9.0,588666.9949412772
390,28.0,1467.0,3.0,575661.2012369471
391,1.0,2476.0,9.0,491644.7040008646
392,46.0,2028.0,6.0,770449.1749412772
393,1.0,1161.0,9.0,584126.0699192637
394,55.0,2501.0,2.0,707414.407679752
395,64.0,2028.0,3.0,480753.8958336187
396,82.0,1335.0,1.0,784265.1969504637
397,28.0,2680.0,10.0,616359.1314326305
398,73.0,2043.0,5.0,636627.5779983787
399,28.0,1797.0,2.0,719778.0123281042
400,64.0,2135.0,6.0,612460.807679752
401,55.0,1797.0,11.0,762247.8118735134
402,28.0,1467.0,11.0,704984.8812148325
403,1.0,1804.0,14.0,805060.0153672725
404,64.0,1804.0,8.0,479731.2881415536
405,37.0,2028.0,14.0,601988.3058336186
406,55.0,1346.0,4.0,578631.1314326305
407,64.0,1237.0,2.0,538653.3723281042
408,28.0,2028.0,11.0,592773.5504500828
409,46.0,2118.0,1.0,638590.9933498312
410,64.0,2043.0,11.0,735782.9169504638
411,46.0,1783.0,4.0,597778.2602069426
412,37.0,1797.0,6.0,513673.4339110986
413,28.0,1335.0,10.0,660805.0549412773
414,46.0,1161.0,6.0,695056.6037311212
415,64.0,2913.0,4.0,745534.562352141
416,10.0,2098.0,8.0,729568.3891183891
417,46.0,1567.0,8.0,712761.7708572765
418,28.0,1734.0,4.0,669172.1537311212
419,64.0,1459.0,14.0,604473.4425970789
420,82.0,2163.0,13.0,503201.2987274453
421,10.0,1567.0,9.0,674904.2653672725
422,28.0,2118.0,4.0,701269.3502069425
423,46.0,2680.0,8.0,572548.905357765
424,64.0,1335.0,8.0,696096.7158336187
425,64.0,2028.0,9.0,761178.7153672726
426,82.0,2501.0,11.0,608292.1966874629
427,10.0,1734.0,6.0,635538.2081415536
428,37.0,2416.0,12.0,674583.3166874629
429,64.0,2074.0,10.0,538068.3723281042
430,64.0,1804.0,4.0,546298.9799192636
431,64.0,2105.0,4.0,721210.3127244101
432,19.0,2936.0,4.0,669138.3679983787
433,64.0,1467.0,5.0,738781.1612369472
434,64.0,2118.0,3.0,640973.4969504637
435,19.0,1783.0,10.0,518408.07695046376
436,82.0,2471.0,7.0,547764.9649412772
437,73.0,2936.0,5.0,670986.1323281042
438,82.0,1783.0,1.0,529377.3921824719
439,55.0,2796.0,6.0,675585.3923521412
440,64.0,1237.0,8.0,504864.9349412772
441,64.0,1928.0,9.0,637466.2579669729
442,1.0,2700.0,10.0,576319.8123281042
443,1.0,2700.0,14.0,650568.1314326305
444,1.0,2700.0,13.0,530959.4940008646
445,55.0,1783.0,11.0,742191.1447340297
446,55.0,2231.0,1.0,448657.9140008646
447,19.0,1804.0,13.0,731188.3891183891
448,19.0,1335.0,4.0,588207.9949412772
449,28.0,2476.0,6.0,790417.2049412772
450,55.0,2501.0,6.0,606341.1079669729
451,46.0,1467.0,5.0,734575.30180528
452,1.0,2231.0,8.0,815486.7404500827
453,73.0,2700.0,9.0,489319.2076797519
454,55.0,1346.0,1.0,573412.905357765
455,64.0,2913.0,7.0,672449.5727244101
456,10.0,1783.0,8.0,640390.545357765
457,19.0,1772.0,5.0,600953.3058336186
458,55.0,1783.0,4.0,670856.1812369471
459,1.0,1804.0,2.0,681161.3491183892
460,55.0,2913.0,6.0,804861.3369504637
461,46.0,1284.0,7.0,514348.4339110986
462,55.0,2028.0,2.0,706564.7769504638
463,64.0,2476.0,4.0,760660.6318052801
464,82.0,1161.0,8.0,736454.7524994892
465,10.0,1567.0,12.0,667241.4079669729
466,37.0,2471.0,8.0,522006.4918136714
467,37.0,1797.0,3.0,523187.3658336187
468,10.0,2936.0,12.0,486225.01668746286
469,28.0,2416.0,13.0,547143.9649412772
470,1.0,2231.0,11.0,784752.8653672726
471,73.0,1772.0,6.0,641079.1153672726
472,19.0,2074.0,9.0,634246.5718136714
473,1.0,2163.0,2.0,670985.8904500827
474,28.0,1567.0,6.0,531202.4940008646
475,55.0,1467.0,14.0,639831.31180528
476,64.0,1783.0,10.0,702429.6924644242
477,64.0,2163.0,10.0,614759.6123521412
478,82.0,1567.0,13.0,706216.6918735134
479,82.0,2105.0,5.0,760759.6318052801
480,37.0,2501.0,3.0,635648.3639110986
481,19.0,1467.0,8.0,797656.4702069425
482,37.0,1459.0,14.0,755486.6039110986
483,1.0,1467.0,5.0,573906.2012369471
484,82.0,2501.0,10.0,518906.3218052801
485,19.0,2028.0,12.0,760564.8118735134
486,46.0,2631.0,3.0,556243.6449294311
487,19.0,2074.0,1.0,668625.3679983787
488,73.0,2471.0,5.0,669224.4733498312
489,55.0,2631.0,14.0,798198.5649294312
490,73.0,2135.0,3.0,667298.2458336187
491,55.0,2043.0,6.0,670465.6739110985
492,28.0,1734.0,6.0,724092.4333498311
493,10.0,2700.0,12.0,608319.1966874629
494,64.0,2680.0,1.0,534843.4124994893
495,55.0,2680.0,13.0,761826.7153672726
496,64.0,1284.0,8.0,522944.3658336187
497,37.0,2680.0,10.0,690201.4440008645
498,64.0,1335.0,10.0,696133.5723281042
499,73.0,2105.0,6.0,741536.1827244101
500,10.0,2105.0,4.0,565449.9979983787
501,1.0,1346.0,11.0,702897.6924644242
502,73.0,1459.0,3.0,593925.5504500828
503,46.0,1467.0,8.0,780681.1314326304
504,19.0,2416.0,13.0,744021.0118136714
505,10.0,1797.0,7.0,454123.2212369471
506,28.0,2796.0,2.0,518372.66536727257
507,46.0,2118.0,12.0,793489.5704500827
508,28.0,1459.0,8.0,582830.0699192637
509,10.0,1804.0,5.0,697618.5723281042
510,28.0,1467.0,8.0,673729.5847340297
511,46.0,1335.0,5.0,765145.8581415537
512,19.0,2043.0,4.0,642873.2566874628
513,73.0,2043.0,13.0,525234.5533498311
514,46.0,2631.0,14.0,668985.3679983787
515,64.0,2631.0,10.0,664998.6540008646
516,1.0,2796.0,8.0,729811.3891183891
517,64.0,2796.0,13.0,563033.8153672726
518,46.0,2476.0,13.0,524564.3658336187
519,82.0,2118.0,1.0,534964.8079669729
520,37.0,2028.0,4.0,732831.0240008646
521,37.0,2163.0,9.0,563527.4518735134
522,28.0,1346.0,6.0,459547.0523521411
523,10.0,1237.0,7.0,494926.7924994892
524,19.0,1734.0,2.0,633195.6249294311
525,46.0,2476.0,14.0,562062.7481415536
526,82.0,2028.0,14.0,668112.8924994892
527,10.0,1161.0,8.0,721777.3127244101
528,55.0,1772.0,7.0,727079.6124644242
529,55.0,2105.0,8.0,494724.1314326305
530,1.0,2700.0,9.0,574761.6076797519
531,73.0,2118.0,12.0,570462.1366874628
532,55.0,2118.0,2.0,742596.1447340297
533,19.0,1346.0,9.0,708208.8691183892
534,37.0,2700.0,10.0,720647.6518136715
535,82.0,2680.0,13.0,616311.9324644243
536,1.0,2135.0,4.0,783325.9618052801
537,19.0,1731.0,12.0,673919.552182472
538,82.0,1797.0,10.0,607314.2537311212
539,1.0,2700.0,4.0,648296.8524644242
540,19.0,2043.0,6.0,706955.407679752
541,55.0,1731.0,1.0,728384.1321824719
542,37.0,2631.0,6.0,502798.4423521411
543,37.0,2043.0,14.0,647399.6587274452
544,28.0,2163.0,6.0,805195.0153672725
545,64.0,2105.0,6.0,569581.2840008646
546,1.0,2631.0,8.0,745561.562352141
547,82.0,1161.0,13.0,541783.832352141
548,46.0,1335.0,6.0,778393.0749294312
549,46.0,2936.0,13.0,756289.807679752
550,64.0,1783.0,2.0,765100.8581415537
551,73.0,1335.0,14.0,530184.0766874629
552,10.0,2936.0,11.0,635835.8640008646
553,10.0,2074.0,14.0,651153.1314326305
554,10.0,2163.0,14.0,703361.342182472
555,64.0,2501.0,5.0,504729.9349412772
556,19.0,2488.0,10.0,678167.3399192637
557,82.0,2913.0,6.0,644990.0647340297
558,55.0,1797.0,6.0,704039.8812148325
559,1.0,1772.0,6.0,672658.5847340297
560,82.0,2680.0,5.0,703073.342182472
561,46.0,1335.0,7.0,602892.7879983787
562,10.0,1804.0,9.0,738605.2304500827
563,73.0,1284.0,2.0,635583.7758336186
564,82.0,2700.0,1.0,642513.2566874628
565,28.0,1335.0,13.0,478840.2881415536
566,1.0,2043.0,2.0,638457.6012148325
567,46.0,2231.0,13.0,618146.1599192637
568,55.0,2488.0,13.0,669273.3679983787
569,64.0,1237.0,3.0,556777.2302069425
570,28.0,2476.0,5.0,641889.2908572765
571,73.0,1467.0,2.0,667777.3653577651
572,37.0,2501.0,6.0,652556.8291183892
573,55.0,2913.0,1.0,514132.4339110986
574,46.0,1928.0,3.0,721561.3127244101
575,10.0,2471.0,13.0,496513.9323281041
576,55.0,1731.0,5.0,720697.3127244101
577,64.0,1731.0,10.0,490111.2076797519
578,37.0,2680.0,14.0,694916.2918136714
579,10.0,1346.0,11.0,588882.9949412772
580,55.0,2105.0,11.0,581012.222352141
581,37.0,1928.0,3.0,668981.2458336187
582,37.0,2118.0,6.0,600042.4781415536
583,55.0,1161.0,7.0,532903.1025970788
584,19.0,1804.0,8.0,513859.20020694257
585,28.0,2501.0,11.0,724538.9479983787
586,55.0,2028.0,6.0,634894.5718136714
587,28.0,2700.0,12.0,698669.9533498312
588,10.0,2680.0,7.0,490399.2076797519
589,82.0,1804.0,2.0,678788.3399192637
590,64.0,2700.0,3.0,563043.2169504637
591,46.0,2488.0,5.0,573871.905357765
592,28.0,2098.0,13.0,537368.5412369472
593,10.0,1459.0,11.0,736022.7524994892
594,55.0,2476.0,6.0,683085.1314326305
595,64.0,2098.0,5.0,668818.3202069426
596,37.0,2700.0,4.0,586374.7891183892
597,19.0,1346.0,12.0,780393.1314326304
598,1.0,1731.0,10.0,641162.4969504637
599,73.0,2488.0,14.0,769441.1749412772
600,64.0,2118.0,14.0,744041.1281415536
601,46.0,2936.0,7.0,735142.30180528
602,28.0,1346.0,14.0,719712.5012369471
603,19.0,2118.0,10.0,562758.8518136714
604,73.0,2700.0,4.0,766679.1258336187
605,82.0,2501.0,6.0,612433.807679752
606,28.0,2231.0,4.0,606564.1966874629
607,19.0,1346.0,14.0,462040.7999192636
608,46.0,1797.0,8.0,452264.44535776513
